header,article
"Events Canceled and Moved after Helene
October 5, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 2
Author: MIYA BANKS, mbanks@hickoryrecord.com","The Burke County Chan1ber of Commerce released a list of postponed or canceled events on Thursday morning,
Events are being postponed or canceled due to the devastation from Hurricane Helene, the chamber said.
Postponed events include: ? Burke County Chamber of
Commerce's Business Showcase ? WCI - Solutions for the
Workplace ? Meet & Greet with UNC
Health Blue Ridge Gary Paxon Canceled events include: ? NCSD Foundation Golf
Tournament ? Fall Tractor Show at Catawba
Meadows Park ? JR's Rodeo ? UNC Health Blue Ridge
Dragon Boat Races These lists are not comprehensive and reflect what the Burke County Chamber of Commerce is currently aware of. The cham -her said it will keep the public updated as best it can.
Below is a non-comprehensive list of more cancellations and postponements.
Burke County

Western Piedmont Community College in Morganton canceled fire college, according to a Facebook post from Western Piedmont Community College Regional Fire & Rescue Training.
""In observing the wide area of destruction throughout (western N.C.) and compromised infrastructure to our region and the safety of our students, we have decided to cancel the 2024 Burke County Regional Fire College so our responders can fulfill their obligations at home and begin to recover form last week's tragedy:' the post said.
The Give Cheese a Chance
grilled cheese competition in Morganton has also been postponed, according to a Facebook post. The post said more information is to come.
The 80s M1V Experience at CoMMA in Morganton has been rescheduled for Tuesday, Nov. 26, at 7:30 p.m., according to an email. The email said all tickets purchased for the original date will be honored for the new date.
""A Wolf's Mother"" at CoMMA has been rescheduled to Nov. 21-23, the email smd. Tickets bought for the original date will be honored for the new date, the email said.
Deana Carter's concert has been rescheduled for Wednesday, Nov. 6, at 7:30 p.m., the email said. Tickets bought for the original date will be honored for the new date, the email said.
""If you cannot attend the rescheduled dates, please reach out to the box office at 828-433-7469:' the email said.
Spooky Meadows in Morgan -ton has been canceled, according to an email.
McDowell County
The Mountain Glory Festival in Marion has been canceled, according to a Face book post on the Mountain Glory Festival page.
""The recovery from the catastrophic weather event to our county and those counties surrounding us will be underway for quite some time:' the post said. l'Our resources are simply too limited at this time to be in a position to host the thousands of visitors that attend this event!'
The post said the event will return in 2025.
The post smd vendors will be emailed as soon as possible with information regarding a refund of vendor fees.
An Evening with Western N .C. Writers in Marion has been canceled, according to an email from St. John's Episcopal Church. The Mountain Gateway Museum and Heritage Center in Old Fort has canceled its Farms and Foliage event, said Brittany Ben -nett Joachim in an email.
""Sadly, due to the cleanup process needed and out of safety and concern, the event has been can -celed:' Joachim said, adding that the 1nuseu1n hopes to do the event next year.
Catawba County The 'IT Miller show at the Hickory Premier is canceled, according to a Face book post from the Hickory Premier venue."
"Roads, bridges in Burl{e, McDowell affected by storm
October 5, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 2
Author: SHARON MCBRAYER smcbrayer@morganton.com","The North Carolina Department of Transportation said that travel to western North Carolina is limited to local and hurricane response traffic.
NCDOT said motorists cannot get from North Carolina to Tennessee via Interstate 40 or Interstate 26.
And there are son1e roads in Burke and McDowell counties that have been damaged or impacted by the storm.
Burke County roads closed Daivd Uchiyama, a spokes-person for NC DOT, said bridges on U.S. and N.C. routes in Burke County have been inspected and officials are currently examining bridges on secondary routes.
The roads in Burke County that have been affected: ? Clark Loop is impassable in both directions due to pipe failure. ? Rose Carswell Road is closed due to bridge failure. ? Oakland Avenue near Enon
Drive is closed due to trees in the road. ? N.C. Highway 126 at the county line, the bridge over Old Catawba Creek is closed, on the south side of Lake James, around the corner from Lake James Community Church. ? N.C.Highwayl26,near Benfield Landing Bridge is closed due to structural damage. The road is expected to re-open once repairs are made. That could be anytime through Nov. 30, according to NCDOT. ? N.C. Highway 126 near Parks
Drive the westbound lane is closed due to shoulder failure. Work onit was expected to be done between Tuesday and Nov. 30, according to NCDOT. ? Enola, Near JP Hawkins Circle in Connelly Springs is closed due to power line utility work.
McDowell county roads closed
In McDowell County, bridges that have been affected are: ? Interstate 40 near Parker Padgett Road east of Old Fort at mile marker 75 heading east, the right lane is closed. ? Interstate 40 east and westbound, near Catawba Avenue in Old Fort at mile marker 73 to 66 at Dunsmore Avenue, is down to one lane due to a mud slide and downed trees. The issue should be resolved by Oct. 10. ? U.S. Highway 221, near U.S.
Highway 221 N in Woodlawn, is closed in both directions due to a n1ud slide and downed trees. The impact to traffic is considered high and the estimated date the issue should be resolved is Oct. IO. ? Tatertown Loop in Marion is
closed in both directions due to a pipe repair. It is expected to be resolved by Oct. IQ. ? Deepcove Spring Drive in
Marion closed in both directions due to pipe failure going to water plant on Clear Creek Road. Issue expected to be resolved by Oct. IO."
"SEVERE WEATHER Milton Threatens Florida
October 6, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 3
Author: ASSOCIATED PRESS","Kirk expected to bring dangerous conditions, areas reel after Helene
ASSOCIATED PRESS
MIAMI - A storm system that was brewing in the Gulf of Mexico strengthened into Tropical Storm Milton on Saturday, and forecasters warned it could intensify into a hurricane and slam into the west coast of Florida this week.
Tropical Storm Milton was about 220 miles north-northeast of Veracruz, Mexico, the National Hurricane Center in Miami said in an afternoon advisory. It had maximum sustained winds of 40 mph.
Florida Gov. Ron DeSantis declared a state of emergency in 35 counties ahead of the storm's potential landfall. Since many of those counties are still recovering
from Hurricane Helene, he asked the Florida Division of E1nergency Management and the Florida Depart1nent of Transportation to coordinate all available resources and personnel to supplement local communities as they expedite debris removal.
Though no coastal watches or warnings were in effect, the hurricane center said the Florida Pen -insula, the Florida Keys, Mexico 1s Yucatan peninsula and the north -western Bahainas should monitor the system's progress.
The storm is forecast to strengthen and bring the risk of life-threatening impacts to parts of Florida, with hurricane and storm- surge watches likely in effect from Sunday. Parts of the state were expected to have heavy rainfall beginning that day, threatening flooding.
'There is an increasing risk of life-threatening storm surge and wind impacts for portions of the west coast of the Florida Perrinsula beginning late Tuesday or Wednesday. Residents in these areas should ensure they have their hurricane plan in place, follow any advice given by local officials, and check back for updates to the forecast;' the center said.
Looking further east, Leslie strengthened into a hurricane in the Atlantic Ocean but isn't threatening land, forecasters said. The storm was located Saturday about 725 miles west-southwest of the southernmost Caba Verde Islands and had maximum sustained winds of 75 mph. There were no coastal watches or warnings in effect.
Meanwhile, Hurricane Kirk remained a Category 4 storm, and waves from the system were affecting the Leeward Islands, Bermuda, and the Greater Anti! -Jes, forecasters said. The storm's swells were expected to spread to the East Coast of the United States, the Atlantic Coast of Canada and the Bahamas on Saturday night and Sunday.
Forecasters warned the waves could cause life-threatening surf and rip current conditions.
Kirk was expected to weaken starting Saturday, the center said.
Though there were no coastal warnings or watches in effect for Kirk, the center said those in the Azores, where swells could hit Monday, should monitor the storm's progress. Kirk was about 975 miles east-northeast of the northern Leeward Islands with maximum sustained winds of 130 mph.
The storms churned as rescuers in the U.S. Southeast searched for people unaccounted for more than a week after Hurricane Helene. The death toll from that storm inched up to 227 on Saturday."
"Tampa Grids from Storm
October 7, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 3
Author: FREIDA FRISARD Associated Press","FEMA leader decries Trump's 'demoralizing' conspiracy theories
FREIDA FRISARD Associated Press
FORT LAUDERDALE, Fla. -Hurricane Milton quickly intensified Sunday and is on track to become a major hurricane with the Tampa Bay area in its sights, putting Florida on edge and triggering evacuation orders along a coast still reeling from Helene's devastation.
While forecast models vary, the most likely path suggests Milton could make landfall Wednesday in the Tampa Bay area and remain a hurricane as it moves across central Florida into the Atlantic Ocean, forecasters said. That would largely spare other southeastern states ravaged by Hurricane Helene, which caused catastrophic damage from Florida into the Appalachian Mountains, with a death toll that rose Sunday to at least 130 people.
Florida Gov. Ron De Santis said Sunday that it's clear that Florida is going to be hit hard by Milton - ""I don't think there's any scenario where we don't have major impacts at this point.""
Also on Sunday, the U.S. government's top disaster relief official said that false clain1s and conspiracy theories about the federal response to Hurricane Helene - spread most prominently by Donald Trump - are ""demoralizing"" aid workers and creating fear in people who need recovery assistance.
""It's frankly ridiculous, and just plain false. This kind of rhetoric is not helpful to people: said Deanne Criswell, who leads the Federal Emergency Management Agency. ""It's really a shame that we're putting politics ahead of helping people, and that's what we're here to do. We have had the complete support of the state: she said, referring to North Carolina.
Republicans, led by the former president, have helped foster a frenzy of misinformation over the past week among the communities most devastated by Helene, promoting a number of false claims, including that Washington is intentionally withholding aid to people in Republican areas.
Trump accused FEMA of spending all its money to help immigrants who are in the United States illegally, while other critics assert that the government spends too much on Israel, Ukraine and other foreign countries.
Hurricane Milton was centered about 815 miles west-southwest of Tampa on Sunday afternoon, with maximu1n sustained winds of 80 mph, tbe National Hurricane Center said.
""You have time to prepare - all day today, all day Monday, probably all day Tuesday to be sure your hurricane preparedness plan is in place,"" the governor said. ""If you're on that west coast of Florida, barrier islands, just assume you'll be asked to leave:
In Pinellas County, home to St. Petersburg, officials issued voluntary evacuation orders for people along the barrier island beaches and mobile home parks. Mandatory evacuations are likely to follow.
With Milton achieving hurricane status, this is the first time the Atlantic has had three simultaneous hurricanes after September, said Colorado State University hurricane scientist Phil Klotzbach."
"N. Carolina Relocates intrasquad Scrimmage
October 8, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 9
Author: AARON BEARD Associated Press","Associated Press
CHAPEL HILL - North Carolina has relocated its planned intrasquad scrimmage in western North Carolina due to damage from Hurricane Helene in that region and will instead hold it at home.
The school had scheduled its BlueWhite scrimmage for Oct. 13 at the Harrah's Resort in Cherokee, located in the state's westernmost county. The Tar Heels were then set to travel to Memphis to play an exhibition game two days later, benefitting St. Jude Children's Research Hospital. But the region has been devastated after the Category 4 storm, which flooded out roads and whole communities as it rolled north through the Carolinas, Georgia and eastern Tennessee. Officials reported 200 dead from the storm as of Thursday.
UNC said Friday the decision was mntual between the school and orga -nizers. The scrimmage is now Oct. 12, with ticket proceeds going to hurricane relief to join a list of aid efforts from college and professional sports orga -nizations.
""Our No. 1 concern is the safety and wellbeing of the thousands of people who are affected by the storm and we didn't want to add to their challenges by trying to play a basketball game in Cherokee at this time;"" UNC coach Hubert Davis said in a statement.
""We had some discussions about keeping the date to help restore some nor1nalcy, but there is nothing normal about the tragic circu1nstances people in the area are facing every day. We plan to bring onrteam to Harrah's and Cherokee another time when the conditions are right"""
"Storm Death Reported in Burke
October 9, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 1
Author: SARAH JOHNSON AND BILLY CHAPMAN","Power restored to most customers
One death attributed to Hurricane Helene was reported in Catawba County and one was reported in Burke County.
Alexander, Caldwell and Iredell counties have reported no deaths attributed to the story.
Ten days after the storm, thousands remain without power. Hundreds of thousands of customers were without power in the immediate aftermath of the remnants of Hurricane Helene.
Burke County
One fatality in Burke County was reported after a driver hit a tree on Summers Road, according to Burke County Emergency Communications Assistant Director Chris White.
Burke County e1nergency crews also conducted 31 water rescues, responded to 37 structure collapses and conducted 322 welfare checks.
""None of those turned up to be missing people or anything like that: White said. ""So to our knowledge we don't have anybody missing!'
White said areas along the Catawba River, Johns River, Linville River, Lake James and Lake Rhodhiss were most heavily impacted by Helene.
White said the Catawba River spread 100 to 150 yards in some places from its banks.
The county received 4,722 emergency calls for service Thursday and Friday. An additional 315 calls were routed to Catawba County while emergency service lines were down in Burke County.
Thirty swift water rescues have been conducted in Burke County. Last week, Burke County water systems reported power outages and boil water advisories. This week, White said no public water systems are under a boil water advi -sory. White said test kits for private wells have been ordered but not received yet.
Over 1,800 custo1ners were without power Monday afternoon in Burke County, the majority of which receive service from Rutherford EMC.
Seven roads were closed on Monday in Burke County due to Helene damage, according to DriveNC.gov.
Catawba County
Approximately 100 homes in the Lookout Shoals Lake area were flooded during Hurricane Helene.
The Lookout Shoals Lake area was the most heavily impacted area in Catawba County, Catawba County Communications and Marketing Director Amy McCauley said.
Approxin1ately 50 other homes across Catawba County have major structural damage due to the storm.
McCauley said the county received 2,152 emergency calls Sept. 26 and 27 as Helene came through the area.
One death in Catawba County was attributed to the storm. A 4-year-old was killed in a car crash on Sept. 26 during heavy rains prior to Hurricane Helene officially reaching Catawba County, McCauley said.
One road in Catawba County remains closed.
According to Drive NC.gov, a bridge along Finger Bridge Road sustained significant damage during the storm and will have to either be replaced or repaired before the road is reopened.
The rest area on Interstate 40 in Claremont was closed Monday due to lack of power and water, according to DriveNC. gov.
More than 27,000 were left without power in Catawba County during the stor1n, McCauley said. As of Monday, there were 15 customers without power in Catawba County, according to PowerOutage.us.
Alexander County
Alexander County reported 13 homes with structural damage fol -lowing Hurricane Helene, Alexander County Public Information Officer Gary Herman said on Monday.
One of the homes was a total loss. The most heavily impacted areas of Alexander County were in the western and northern sectons, Herman said.
Roughly 60& of Alexander County residents were without power at one point. Herman said 11,300 people was the peak num -ber of residents without power due to the storm. As of 11:30 a.rn. on Monday 1 only one person remained without power in the county, according to PowerOutage. us.
No deaths or injuries were reported relating to the storm. Alexander County 911 Communications dispatched 580 calls for assistance. The county received 190 emergency calls and 1,559 other calls throughout Sept. 26-27, Herman said.
Caldwell County
Caldwell County still is assessing damage to homes, according to Caldwell County Public In -formation Officer Paige Counts.
As of Monday morn -ing, county inspectors had not visited some of the hardest - hit areas in Wilson Creek, Mortimer, Edgemont, Globe and Collettsville.
Counts said the county received 3,539 calls for service from the time a state of emergency was declared on Wednesday at noon through Friday. More than 1,800 of those were 911 calls.
Counts said the county communications center typically answers 90 to 100 calls per day.
The donations center at 2145 Norwood St. in Lenoir is no longer accepting donations as of Monday afternoon 1 Counts said, because the center is full.
No fatalities have been reported in Caldwell County.
Over 600 customers were still without power in the county Monday afternoon, according to Power Outage.us.
Six roads in Caldwell County remain closed due to Hurricane Helene, according to DriveNC.gov.
Brown Mountain Beach Road and Waterfalls Road are not expected to reopen until January 2025, according to DriveNC.gov.
Iredell County
Two fanillies were displaced in Iredell County due to Hurricane Helene, Iredell County Manager Beth Milton said.
A total of seven homes were damaged due to the storm. None of the homes were a total loss, Milton said.
Milton said the Central Fire region was the most impacted in the county due to flooded roads and bridges. The Central Fire region is southeast of Love Valley.
No deaths or injmies were reported. The Iredell County E1nergency Communica -lions Center received a total of 2,511 calls. That number includes non-emergency calls and routine transfers, Milton said.
Approximately 3,500 homes in Iredell County were left without power, Milton said. As of Monday, there were only six Iredell County customers without power, according to PowerOutage.us."
"Controlling ahurricane's path, power? No way, scientists say
October 9, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 1
Author: MELINA WALLING AND SETH BORENSTEIN Associated Press","Geoengineers still looking to reverse humans' damage to global climate, however
Associated Press
Hurricanes are humanity's reminder of the uncontrollable, chaotic power of Earth's weather.
Milton's powerful push toward Florida just days after Helene devastated large parts of the Southeast likely has some in the region wondering if they are being targeted. In some corners of the Internet, Helene has already sparked conspiracy theories and disinformation suggesting the government somehow aimed the hurricane at Republican voters. Besides discounting common sense, such theories disregard weather history that shows the hurricanes are hitting many of the same areas they have for centuries. They also presume an ability for humans lo quickly reshape the weather far beyond relatively puny efforts such as cloud seeding.
""If meteorologists could stop hurri -canes, we would stop hurricanes:' Kristen Corbosiero, a professor of atmospheric and environmental sciences at the University at Albany.
""If we could control the weather, we would not want the kind of death and destruction that's happened."" A fully developed hurricane releases heat energy that is the equivalent of a IO-megaton nuclear bomb every 20 minutes -more than all the energy used at a given time by humanity, according to National Hurricane Center tropical analysis chief Chris Landsea.
And scientists are now finding many ways climate change is making hurricanes worse, with warmer oceans that add energy and more water in the warming atmosphere to fall as rain, said Chris Field, director of the Stanford Woods Institute for the Environment. ""The amount of energy a hurricane generates is insane:' said Colorado State University hurricane researcher Phil Klotzbach. It's the height of human arrogance to think people have the power to change them, he said.
But that hasn't stopped people from trying, or at least thinking about trying.
Jim Fleming of Colby College has studied historical efforts to control the weather and thinks humans have nowhere near the practical technology to get there. He described an attempt in 194 7 in which General Electric partnered with the U.S. military to drop dry ice from Air Force jets into the path of a hurricane in an attempt to weaken it. It didn't work.
""The typical science goes like understanding, prediction and then possibly control;' Fleming said, noting that the atmosphere is far more powerful and complex than most proposals to control it. ""It goes back into Greek mythol -ogy to think you can control the powers of the heavens, but also it's a failed idea.""
In the 1960s, 1970s and 1980s, the federal government briefly tried Project STORMFURY. The idea was to seed a hurricane to replace its eyewall with a larger one that would make the storm bigger in size but weaker in intensity. Tests were inconclusive and researchers realized if they made the storm larger, people who wouldn't have been hurt by the storm would now be in danger, which is an ethical and liability problem, the project director once said.
For decades, the National Hurricane Center and its parent agency, the National Oceanic and Atmospheric Administration, have been asked about nuclear-bombing a hurricane. But the bombs aren't powerful enough, and it would add the problem of radioactive fallout, Corbosiero said.
Bringing cooling icebergs or seeding or adding water-absorbing substances also are ideas that just don't work, NOAA scientists said.
Failed historical attempts to control hurricanes differ somewhat from some scientists' futuristic ideas to combat climate change and extreme weather. That's because instead of targeting individual weather events, modern geoengineers would operate on a larger scale - thinking about how to reverse the broadscale damage humans have al -ready done to the global climate by emitting greenhouse gases.
Scientists in the field say one of the most promising ideas they see based on computer models is solar geoengineering. The method would involve lofting aerosol particles into the upper atmosphere to bounce a tiny bit of sunlight back into space, cooling the planet slightly."
"People Flee Tampa Area
October 9, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 3
Author: TERRY SPENCER AND HAVEN DALEY Associated Press","Milton could be first major hurricane to hit the region since 1921
TERRY SPENCER AND HAVEN DALEY Associated Press
TAMPA, Fla. - Fearful Florida residents streamed out of the Tampa Bay region Tuesday ahead of what could be a once-in-a-century direct hit from Hurricane Milton, as crews worked furiously to prevent furniture, appliances and other waterlogged wreckage from the last big storm from becoming deadly projectiles in this one.
The preparations marked the last chance for millions of people in the Tampa metro area to prepare for lethal storm surges, ferocious winds and possible tornadoes in a place that has narrowly avoided a head-on blow from a major storm for generations.
""Today's the last day to get ready;' said Craig Fugate, a former FEMA director who previously ran the state's emergency operation division. ""This is bringing everything: 1
Gov. RonDeSantis said the state deployed more than 300 dump trucks that removed 1,300 loads of debris left behind by Hurricane Helene by Tuesday afternoon.
After weakening slightly, Milton regained strength Tuesday afternoon and became a Category 5 storm again. It could make landfall Wednesday night in the Tampa Bay area, which has a population of more than 3.3 million people. The
II Florida counties under mandatory evacuation orders are home to about 5.9 million people, according to population estimates from the U.S. Census Bureau.
Those who defy the orders are on their own, and first responders are not expected to risk their lives to rescue them at the height of the storm.
Tampa Bay has not been hit directly by a major hurricane since 1921, and authorities fear its luck is about to run out. Tampa Mayor Jane Castor issued increasingly dire warnings, noting that a 15-foot surge could swallow an entire house.
""So if you're in it, basically that's the coffin that you're in;' she said.
Milton's forecast trajectory wobbled slightly Tuesday, meaning it could make landfall in less populated areas south of Tampa Bay, according to the National Hurricane Center. Still, the whole region is expected to get slammed by the storm.
Milton is forecast to cross central Florida and to dump as much as 18 inches of rain while heading toward the Atlantic Ocean, according to the National Hurricane Center. That path would largely spare other states ravaged by Helene, which killed at least 230 people on its path from Florida to the Carolinas.
The arrival of back-to-back hurricanes that rapidly intensified into mighty storms comes as climate change exacerbates conditions that are allowing then1 to thrive in warming waters."
"October 10, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 13
Author: ROBMAADDI Associated Press","Associated Press
EDITOR'S NOTE: On Football analyzes the biggest topics in the NFL from week to week.
Robert Saleh got to coach just five full games with Aaron Rod -gers before New York Jets owner Woody Johnson decided to 1nake a change.
Johnson fired Saleh on Tuesday in a desperate effort to reinvigorate a talented 2-3 team that has underachieved, especially on offense where Rodgers and coordinator Nathaniel Hackett have struggled to duplicate the success they had in Green Bay.
New York's offense is 25th in points (18.6) per game and 27th in yards (286.6). The defense is fifth in points (17.0) allowed and second in yards (255.8).
But Johnson couldn't fire Hackett - that probably wouldn't sit well with Rodgers - so Saleh is out and defensive coordinator Jeff Ulbrich takes over as interim coach for a team that's trying to end the NFL's longest active playoff drought at 13 seasons.
Only the 2021 Raiders with Rich Bisaccia and the 1961 Oilers with Wally Lemm made the playoffs after switching coaches during the season.
But the Jets aren't on the verge of rebuilding. They were two plays away from being 4- I.
If Greg Zuerlein made a SO-yard field goal in the final minute of a 10-9 loss to Denver in Week4and Rodgers hadn't thrown a terrible pick-6 in a 23-17 loss to Minne
sota on Sunday, it would be a different vibe in New York.
The Jets have a stout defense that would be even better if they could get edge rusher Haason Red -dick to end his holdout. They just need Rodgers and an offense that also features wide receivers Garrett Wilson and Mike Williams, and running backs Breece Hall and Braelon Allen to get going.
A victory on Monday night at home against Buffalo (3-2) gives the Jets a share of first place in the AFC East.
Saleh isn't getting a chance to finish what he started, however. He moves on after going 20-36, mostly with mediocre quarter backs.
Saleh finished 3-3 with Rodgers, including a win in the season opener last year in which the fourtime NFL MVP tore an Achilles tendon on the fourth snap.
He was 12-21 with Zach Wilson, 1-4 with Joe Fiacco, 2-5 with Mike White, 2-1 with Trevor Siemian and 0- 2 with Tim Boyle.
Oh, he was 1-0 in games that include awkward sideline hugs and 0-1 following a cadence controversy.
Hurricane prep. 
The NFL and FEMA entered into a strategic partnership last month, designating several NFL stadiums, including Raymond James Stadium in Tampa, as mission-capable venues that can be used during e1nergency response and recovery efforts.
With Hurricane Milton set to hit Tampa Bay, Raymond James Stadium has been bringing in first responders since Saturday and will have approximately 1,000 of them and other staff to support throughout the storm and ready to deploy after it passes. The sta -dium was also used for Hurricanes Helene and Ian.
Pittsburgh's Acrisure Stadium, Seattle's Lumen Field, MetLife Stadium in East Rutherford, New Jersey, and Los Angeles' SoFi Stadium along with the Buccaneers' home are the designated stadi -urns.
These venues can be used for staging areas (first responders, electrical trucks, etc.), commodity distribution (water, food, blankets, sandbags, etc.), disaster recovery centers where people can come and sign up for loans, etc. They are not designed to shelter citizens.
""Stadiums are valuable com -munity assets that are often used in times of disasters,'' NFL chief security officer Cathy Lanier said. ""This designation reflects the role that many stadiums play, not only on Sundays, but especially in times of need. We are proud to work with FEMA and first responders at the local and state level to ensure disaster response agencies have the information and tools they need to help a community recover when disaster strikes."""
"Millions without Power
October 11, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 3
Author: JULIO CORTEZ, KATE PAYNE AND HAVEN DALEY Associated Press
","Hurricane Milton spawns tornadoes, l(ills at least 8 people
Associated Press
ST. PETERSBURG, Fla. - Hundreds of Florida residents were rescued Thursday from the aftermath of Hurricane Milton after the storm smashed through coastal communities where it tore homes into pieces, filled streets with mud and spawned a barrage of tornadoes that killed at least eight.
Arriving just two weeks after the misery wrought by Hurricane Helene, Milton also knocked out power to more than 3 million customers, flooded barrier islands, tore the roof off a baseball stadium and toppled a construction crane.
But many people also expressed relief that Milton wasn't worse. The hurricane spared Tampa a direct hit, and the lethal storm surge that scientists feared never 1naterialized.
The storm tracked to the south in the final hours and made landfall late Wednesday as a Category 3 hurricane in Siesta Key, about 70 1niles south of Tampa. Dan1age was widespread, and water levels could continue to rise for days, but Gov. Ron Desantis said it was not ""the worst-case scenario!
The worst storm surge appeared to be in Sarasota County, where it was 8 to 10 feet - lower than in the worst place during Helene.
Milton also dumped up to 18 inches of rain in s01ne areas.
At least 340 individuals and 49 pets were saved in ongoing search -and-rescue operations, Desantis said Thursday afternoon.
Officials in the hard -hit Florida counties of Hillsborough, Pinellas, Sarasota and Lee urged people to stay home, warning of downed power lines, trees in roads, blocked bridges and flooding.
Just inland from Tampa, the flooding in Plant City was ""absolutely staggering;' according to City Manager Bill McDaniel, who estimated the city received 13.5 inches of rain.
The tiny barrier island of Mat -lacha, just off Fort Myers, got hit by both a tornado and a surge, with many of the colorful buildings in the fishing and tourist vii -!age sustaining serious damage.
In contrast, city workers on Anna Maria Island were grateful not to be wading through floodwaters as they picked up debris Thursday morning, two weeks after Helene battered buildings and blew in piles of sand up to 6 feet tall.
Power was knocked out across much of the state, with more than 3.4 million homes and businesses without electricity, according to poweroutage.us, which tracks utility reports.
The fabric that serves as the roof of Tropicana Field - home of the Tampa Bay Rays baseball team in St. Petersburg - was ripped to shreds by fierce winds. Debris littered the field, but no injuries were reported."
"Appeals panel hears arguments over DAC
October 11, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 3
Author:",GEORGIA: A federal judge said Thursday that she won't order the presidential battleground state of Georgia to reopen voter registration for November's elections despite clisruptions caused by Hurricane Helene.
"Trump campaign crowdfunds millions in survivor aid online Untraditional efforts raise $14M-plus via GoFundMe
October 16, 2024 | News Herald, The (Morganton, NC) | Morganton, North Carolina | Page 1
Author: JAMES POLLARD Associated Press","NEW YORK - Former President Donald Tru1np's campaign is using GoFundMe to rally its network of deep-pocketed backers and everyday donors around the survivors of his July assassination attempt and Hurricane Helene's destruction, bucking more traditional avenues of emergency relief.
The two high-profile fundraisers - organized by the Republican nominee's national finance director - have drawn more than $14 inillion.
They do not violate campaign finance laws, according to legal experts. Nor is the campaign allowed to pocket any proceeds 
for its own political ends; a GoFundMe spokesperson said that the majority of the Butler, Pennsylvania, funds have been disbursed.
But the use of a crowdfunding platform marks an unorthodox response to crises from a political campaign. Never before has a major party's presidential candidate turned to the for-profit company - which usually features desperate appeals for help covering tuition costs or medical bills - to mobilize their base toward outside charitable causes.
""It's pretty unusual and actually quite odd;' said Brett Kappel, a longtime cam -paign finance attorney with Harmon Curran who has advised both Republicans and Democrats."
